Binding energies, Photoelectric cross sections and asymmetry parameters for TI
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    4970.000  ---             ---            ---             ---   
2S1/2     567.000  4.2526592E+001  1.9998390E+000 5.8253258E+001  1.9993782E+000
2P1/2     465.000  3.2605436E+001  1.3824270E+000 5.2260161E+001  1.4180173E+000
2P3/2     459.000  6.3180690E+001  1.3963255E+000 1.0150273E+002  1.4312903E+000
3S1/2      64.000  6.2673667E+000  1.9991651E+000 8.7611962E+000  1.9996119E+000
3P1/2      39.000  3.6010216E+000  1.3447232E+000 5.6115297E+000  1.4052785E+000
3P3/2      38.000  6.9829594E+000  1.3583662E+000 1.0907824E+001  1.4184403E+000
3D3/2       8.000  3.5568874E-001  7.1317126E-001 6.6776929E-001  7.8585489E-001
4S1/2       7.000  4.8177017E-001  1.9990062E+000 6.7710391E-001  1.9994875E+000
--------------------------------------------------------------------------------
