Binding energies, Photoelectric cross sections and asymmetry parameters for V
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    5470.000  ---             ---            ---             ---   
2S1/2     633.000  4.6903988E+001  1.9997042E+000 6.4119654E+001  1.9992464E+000
2P1/2     525.000  3.9821809E+001  1.4043198E+000 6.3592754E+001  1.4321763E+000
2P3/2     518.000  7.7113393E+001  1.4191847E+000 1.2347356E+002  1.4458111E+000
3S1/2      72.000  7.1208676E+000  1.9991836E+000 9.9254330E+000  1.9996319E+000
3P1/2      44.000  4.4008287E+000  1.3751595E+000 6.8175482E+000  1.4324720E+000
3P3/2      43.000  8.5262461E+000  1.3896930E+000 1.3239981E+001  1.4460601E+000
3D3/2       8.000  5.3439246E-001  7.5034772E-001 9.9460843E-001  8.2437140E-001
4S1/2       7.000  5.3348030E-001  1.9990082E+000 7.4768951E-001  1.9994892E+000
--------------------------------------------------------------------------------
