Binding energies, Photoelectric cross sections and asymmetry parameters for SC
--------------------------------------------------------------------------------
subshell  EB (eV)  PCS (Al,kBarn)  Beta (Al)      PCS (Mg,kBarn)  Beta (Mg)  
1S1/2    4494.000  ---             ---            ---             ---   
2S1/2     503.000  3.8148363E+001  1.9998963E+000 5.2453128E+001  1.9995044E+000
2P1/2     408.000  2.6225837E+001  1.3541155E+000 4.2369075E+001  1.3983853E+000
2P3/2     403.000  5.0873500E+001  1.3672106E+000 8.2397450E+001  1.4108849E+000
3S1/2      55.000  5.4456630E+000  1.9991436E+000 7.6379386E+000  1.9995907E+000
3P1/2      33.000  2.8792233E+000  1.3118060E+000 4.5190464E+000  1.3751183E+000
3P3/2      33.000  5.5968658E+000  1.3247063E+000 8.8052007E+000  1.3875539E+000
3D3/2       8.000  2.2368104E-001  6.7399701E-001 4.2410975E-001  7.4533531E-001
4S1/2       6.000  4.2595899E-001  1.9989824E+000 6.0010369E-001  1.9994868E+000
--------------------------------------------------------------------------------
