# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Ir
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
     750.0       4.1      10.8      16.0      84.2
     755.0       4.1      10.8      16.1      84.9
     760.0       4.1      10.9      16.1      85.5
     765.0       4.1      10.9      16.2      86.2
     770.0       4.1      11.0      16.3      86.8
     775.0       4.1      11.0      16.4      87.5
     780.0       4.1      11.1      16.4      88.2
     785.0       4.1      11.1      16.5      88.8
     790.0       4.2      11.2      16.6      89.5
     795.0       4.2      11.2      16.6      90.2
     800.0       4.2      11.3      16.7      90.8
     805.0       4.2      11.3      16.8      91.5
     810.0       4.2      11.4      16.9      92.2
     815.0       4.2      11.4      16.9      92.9
     820.0       4.2      11.5      17.0      93.5
     825.0       4.2      11.5      17.1      94.2
     830.0       4.2      11.6      17.2      94.9
     835.0       4.3      11.6      17.2      95.6
     840.0       4.3      11.7      17.3      96.2
     845.0       4.3      11.7      17.4      96.9
     850.0       4.3      11.7      17.5      97.6
     855.0       4.3      11.8      17.5      98.3
     860.0       4.3      11.8      17.6      99.0
     865.0       4.3      11.9      17.7      99.7
     870.0       4.3      11.9      17.8     100.3
     875.0       4.3      12.0      17.9     101.0
     880.0       4.4      12.0      17.9     101.7
     885.0       4.4      12.1      18.0     102.4
     890.0       4.4      12.1      18.1     103.1
     895.0       4.4      12.2      18.2     103.8
     900.0       4.4      12.2      18.2     104.5
     905.0       4.4      12.3      18.3     105.2
     910.0       4.4      12.3      18.4     105.9
     915.0       4.4      12.3      18.5     106.6
     920.0       4.4      12.4      18.6     107.2
     925.0       4.4      12.4      18.6     107.9
     930.0       4.5      12.5      18.7     108.6
     935.0       4.5      12.5      18.8     109.3
     940.0       4.5      12.6      18.9     110.0
     945.0       4.5      12.6      19.0     110.7
     950.0       4.5      12.7      19.0     111.4
     955.0       4.5      12.7      19.1     112.2
     960.0       4.5      12.8      19.2     112.9
     965.0       4.5      12.8      19.3     113.6
     970.0       4.5      12.9      19.4     114.3
     975.0       4.6      12.9      19.4     115.0
     980.0       4.6      12.9      19.5     115.7
     985.0       4.6      13.0      19.6     116.4
     990.0       4.6      13.0      19.7     117.1
     995.0       4.6      13.1      19.8     117.8
    1000.0       4.6      13.1      19.9     118.5
    1005.0       4.6      13.2      19.9     119.3
    1010.0       4.6      13.2      20.0     120.0
    1015.0       4.6      13.3      20.1     120.7
    1020.0       4.6      13.3      20.2     121.4
    1025.0       4.7      13.4      20.3     122.1
    1030.0       4.7      13.4      20.4     122.9
    1035.0       4.7      13.4      20.4     123.6
    1040.0       4.7      13.5      20.5     124.3
    1045.0       4.7      13.5      20.6     125.0
    1050.0       4.7      13.6      20.7     125.8
    1055.0       4.7      13.6      20.8     126.5
    1060.0       4.7      13.7      20.9     127.2
    1065.0       4.7      13.7      20.9     128.0
    1070.0       4.7      13.8      21.0     128.7
    1075.0       4.8      13.8      21.1     129.4
    1080.0       4.8      13.9      21.2     130.2
    1085.0       4.8      13.9      21.3     130.9
    1090.0       4.8      13.9      21.4     131.6
    1095.0       4.8      14.0      21.5     132.3
    1100.0       4.8      14.0      21.5     133.1
    1105.0       4.8      14.1      21.6     133.8
    1110.0       4.8      14.1      21.7     134.6
    1115.0       4.8      14.2      21.8     135.3
    1120.0       4.8      14.2      21.9     136.1
    1125.0       4.8      14.3      22.0     136.8
    1130.0       4.9      14.3      22.1     137.5
    1135.0       4.9      14.3      22.1     138.3
    1140.0       4.9      14.4      22.2     139.0
    1145.0       4.9      14.4      22.3     139.8
    1150.0       4.9      14.5      22.4     140.5
    1155.0       4.9      14.5      22.5     141.3
    1160.0       4.9      14.6      22.6     142.0
    1165.0       4.9      14.6      22.7     142.8
