# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Mo
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
     750.0       5.9      13.8      24.5     125.4
     755.0       5.9      13.9      24.7     126.5
     760.0       6.0      14.0      24.9     127.7
     765.0       6.0      14.0      25.0     128.8
     770.0       6.0      14.1      25.2     129.9
     775.0       6.0      14.2      25.4     131.0
     780.0       6.0      14.2      25.6     132.2
     785.0       6.0      14.3      25.7     133.3
     790.0       6.1      14.4      25.9     134.4
     795.0       6.1      14.4      26.1     135.6
     800.0       6.1      14.5      26.3     136.7
     805.0       6.1      14.6      26.5     137.8
     810.0       6.1      14.6      26.6     139.0
     815.0       6.2      14.7      26.8     140.1
     820.0       6.2      14.7      27.0     141.3
     825.0       6.2      14.8      27.2     142.4
     830.0       6.2      14.9      27.4     143.6
     835.0       6.2      14.9      27.5     144.7
     840.0       6.2      15.0      27.7     145.9
     845.0       6.3      15.1      27.9     147.1
     850.0       6.3      15.1      28.1     148.2
     855.0       6.3      15.2      28.3     149.4
     860.0       6.3      15.3      28.4     150.5
     865.0       6.3      15.3      28.6     151.7
     870.0       6.4      15.4      28.8     152.9
     875.0       6.4      15.5      29.0     154.1
     880.0       6.4      15.5      29.2     155.2
     885.0       6.4      15.6      29.4     156.4
     890.0       6.4      15.6      29.5     157.6
     895.0       6.4      15.7      29.7     158.8
     900.0       6.5      15.8      29.9     160.0
     905.0       6.5      15.8      30.1     161.1
     910.0       6.5      15.9      30.3     162.3
     915.0       6.5      16.0      30.5     163.5
     920.0       6.5      16.0      30.7     164.7
     925.0       6.5      16.1      30.9     165.9
     930.0       6.6      16.1      31.0     167.1
     935.0       6.6      16.2      31.2     168.3
     940.0       6.6      16.3      31.4     169.5
     945.0       6.6      16.3      31.6     170.7
     950.0       6.6      16.4      31.8     171.9
     955.0       6.6      16.5      32.0     173.1
     960.0       6.7      16.5      32.2     174.3
     965.0       6.7      16.6      32.4     175.6
     970.0       6.7      16.6      32.6     176.8
     975.0       6.7      16.7      32.8     178.0
     980.0       6.7      16.8      33.0     179.2
     985.0       6.7      16.8      33.2     180.4
     990.0       6.8      16.9      33.4     181.7
     995.0       6.8      17.0      33.5     182.9
    1000.0       6.8      17.0      33.7     184.1
    1005.0       6.8      17.1      33.9     185.4
    1010.0       6.8      17.1      34.1     186.6
    1015.0       6.8      17.2      34.3     187.9
    1020.0       6.9      17.3      34.5     189.1
    1025.0       6.9      17.3      34.7     190.4
    1030.0       6.9      17.4      34.9     191.6
    1035.0       6.9      17.5      35.1     192.8
    1040.0       6.9      17.5      35.3     194.1
    1045.0       6.9      17.6      35.5     195.3
    1050.0       7.0      17.6      35.7     196.6
    1055.0       7.0      17.7      35.9     197.9
    1060.0       7.0      17.8      36.1     199.1
    1065.0       7.0      17.8      36.3     200.4
    1070.0       7.0      17.9      36.5     201.6
    1075.0       7.0      17.9      36.7     202.9
    1080.0       7.1      18.0      36.9     204.2
    1085.0       7.1      18.1      37.1     205.4
    1090.0       7.1      18.1      37.3     206.7
    1095.0       7.1      18.2      37.5     208.0
    1100.0       7.1      18.3      37.7     209.3
    1105.0       7.1      18.3      37.9     210.5
    1110.0       7.2      18.4      38.1     211.8
    1115.0       7.2      18.4      38.3     213.1
    1120.0       7.2      18.5      38.5     214.4
    1125.0       7.2      18.6      38.7     215.7
    1130.0       7.2      18.6      39.0     217.0
    1135.0       7.2      18.7      39.2     218.2
    1140.0       7.3      18.7      39.4     219.5
    1145.0       7.3      18.8      39.6     220.8
    1150.0       7.3      18.9      39.8     222.1
    1155.0       7.3      18.9      40.0     223.4
    1160.0       7.3      19.0      40.2     224.7
    1165.0       7.3      19.0      40.4     226.0
    1170.0       7.3      19.1      40.6     227.3
    1175.0       7.4      19.2      40.8     228.6
    1180.0       7.4      19.2      41.0     229.9
    1185.0       7.4      19.3      41.2     231.2
    1190.0       7.4      19.4      41.4     232.6
    1195.0       7.4      19.4      41.7     233.9
    1200.0       7.4      19.5      41.9     235.2
    1205.0       7.5      19.5      42.1     236.5
    1210.0       7.5      19.6      42.3     237.8
    1215.0       7.5      19.7      42.5     239.2
    1220.0       7.5      19.7      42.7     240.5
    1225.0       7.5      19.8      42.9     241.8
    1230.0       7.5      19.8      43.1     243.1
    1235.0       7.5      19.9      43.4     244.5
    1240.0       7.6      20.0      43.6     245.8
    1245.0       7.6      20.0      43.8     247.1
    1250.0       7.6      20.1      44.0     248.4
    1255.0       7.6      20.1      44.2     249.8
    1260.0       7.6      20.2      44.4     251.1
    1265.0       7.6      20.3      44.6     252.5
    1270.0       7.7      20.3      44.9     253.8
    1275.0       7.7      20.4      45.1     255.2
    1280.0       7.7      20.4      45.3     256.5
    1285.0       7.7      20.5      45.5     257.9
    1290.0       7.7      20.6      45.7     259.2
    1295.0       7.7      20.6      45.9     260.5
    1300.0       7.7      20.7      46.2     261.9
    1305.0       7.8      20.7      46.4     263.3
    1310.0       7.8      20.8      46.6     264.6
    1315.0       7.8      20.9      46.8     266.0
    1320.0       7.8      20.9      47.0     267.4
    1325.0       7.8      21.0      47.3     268.7
    1330.0       7.8      21.0      47.5     270.1
    1335.0       7.9      21.1      47.7     271.5
    1340.0       7.9      21.1      47.9     272.8
    1345.0       7.9      21.2      48.1     274.2
    1350.0       7.9      21.3      48.4     275.6
    1355.0       7.9      21.3      48.6     276.9
    1360.0       7.9      21.4      48.8     278.3
    1365.0       7.9      21.4      49.0     279.7
    1370.0       8.0      21.5      49.3     281.1
    1375.0       8.0      21.6      49.5     282.5
    1380.0       8.0      21.6      49.7     283.9
    1385.0       8.0      21.7      49.9     285.3
    1390.0       8.0      21.7      50.2     286.6
    1395.0       8.0      21.8      50.4     288.0
    1400.0       8.0      21.9      50.6     289.4
    1405.0       8.1      21.9      50.8     290.8
    1410.0       8.1      22.0      51.1     292.2
    1415.0       8.1      22.0      51.3     293.6
    1420.0       8.1      22.1      51.5     295.0
    1425.0       8.1      22.2      51.7     296.4
    1430.0       8.1      22.2      52.0     297.8
    1435.0       8.1      22.3      52.2     299.2
    1440.0       8.2      22.3      52.4     300.7
    1445.0       8.2      22.4      52.6     302.1
    1450.0       8.2      22.4      52.9     303.5
    1455.0       8.2      22.5      53.1     304.9
    1460.0       8.2      22.6      53.3     306.3
    1465.0       8.2      22.6      53.6     307.8
    1470.0       8.3      22.7      53.8     309.2
    1475.0       8.3      22.7      54.0     310.6
    1480.0       8.3      22.8      54.3     312.0
    1485.0       8.3      22.9      54.5     313.4
    1490.0       8.3      22.9      54.7     314.9
    1495.0       8.3      23.0      55.0     316.3
    1500.0       8.3      23.0      55.2     317.7
    1505.0       8.4      23.1      55.4     319.2
    1510.0       8.4      23.2      55.7     320.6
    1515.0       8.4      23.2      55.9     322.1
    1520.0       8.4      23.3      56.1     323.5
    1525.0       8.4      23.3      56.4     325.0
    1530.0       8.4      23.4      56.6     326.4
    1535.0       8.4      23.4      56.8     327.8
    1540.0       8.5      23.5      57.1     329.3
    1545.0       8.5      23.6      57.3     330.7
    1550.0       8.5      23.6      57.5     332.2
    1555.0       8.5      23.7      57.8     333.7
    1560.0       8.5      23.7      58.0     335.1
    1565.0       8.5      23.8      58.2     336.6
    1570.0       8.5      23.9      58.5     338.0
    1575.0       8.6      23.9      58.7     339.5
    1580.0       8.6      24.0      59.0     341.0
    1585.0       8.6      24.0      59.2     342.4
    1590.0       8.6      24.1      59.4     343.9
    1595.0       8.6      24.1      59.7     345.4
    1600.0       8.6      24.2      59.9     346.8
    1605.0       8.6      24.3      60.2     348.3
    1610.0       8.7      24.3      60.4     349.8
    1615.0       8.7      24.4      60.6     351.3
    1620.0       8.7      24.4      60.9     352.8
    1625.0       8.7      24.5      61.1     354.3
    1630.0       8.7      24.5      61.4     355.7
    1635.0       8.7      24.6      61.6     357.2
    1640.0       8.7      24.7      61.8     358.7
    1645.0       8.7      24.7      62.1     360.2
    1650.0       8.8      24.8      62.3     361.7
    1655.0       8.8      24.8      62.6     363.2
    1660.0       8.8      24.9      62.8     364.7
    1665.0       8.8      25.0      63.1     366.2
    1670.0       8.8      25.0      63.3     367.7
    1675.0       8.8      25.1      63.6     369.2
    1680.0       8.8      25.1      63.8     370.7
    1685.0       8.9      25.2      64.0     372.2
    1690.0       8.9      25.2      64.3     373.7
    1695.0       8.9      25.3      64.5     375.2
    1700.0       8.9      25.4      64.8     376.7
    1705.0       8.9      25.4      65.0     378.3
    1710.0       8.9      25.5      65.3     379.8
    1715.0       8.9      25.5      65.5     381.3
    1720.0       9.0      25.6      65.8     382.8
    1725.0       9.0      25.6      66.0     384.4
    1730.0       9.0      25.7      66.3     385.9
    1735.0       9.0      25.8      66.5     387.4
    1740.0       9.0      25.8      66.8     388.9
    1745.0       9.0      25.9      67.0     390.5
    1750.0       9.0      25.9      67.3     392.0
    1755.0       9.1      26.0      67.5     393.5
    1760.0       9.1      26.0      67.8     395.1
    1765.0       9.1      26.1      68.0     396.6
    1770.0       9.1      26.2      68.3     398.2
    1775.0       9.1      26.2      68.5     399.7
    1780.0       9.1      26.3      68.8     401.2
    1785.0       9.1      26.3      69.0     402.8
    1790.0       9.1      26.4      69.3     404.3
    1795.0       9.2      26.4      69.5     405.9
    1800.0       9.2      26.5      69.8     407.4
    1805.0       9.2      26.6      70.0     409.0
    1810.0       9.2      26.6      70.3     410.6
    1815.0       9.2      26.7      70.5     412.1
    1820.0       9.2      26.7      70.8     413.7
    1825.0       9.2      26.8      71.0     415.2
    1830.0       9.3      26.8      71.3     416.8
    1835.0       9.3      26.9      71.6     418.4
    1840.0       9.3      27.0      71.8     419.9
    1845.0       9.3      27.0      72.1     421.5
    1850.0       9.3      27.1      72.3     423.1
    1855.0       9.3      27.1      72.6     424.7
    1860.0       9.3      27.2      72.8     426.2
    1865.0       9.4      27.2      73.1     427.8
    1870.0       9.4      27.3      73.4     429.4
    1875.0       9.4      27.4      73.6     431.0
    1880.0       9.4      27.4      73.9     432.6
    1885.0       9.4      27.5      74.1     434.2
    1890.0       9.4      27.5      74.4     435.7
    1895.0       9.4      27.6      74.6     437.3
    1900.0       9.4      27.6      74.9     438.9
    1905.0       9.5      27.7      75.2     440.5
    1910.0       9.5      27.8      75.4     442.1
    1915.0       9.5      27.8      75.7     443.7
    1920.0       9.5      27.9      75.9     445.3
    1925.0       9.5      27.9      76.2     446.9
    1930.0       9.5      28.0      76.5     448.5
    1935.0       9.5      28.0      76.7     450.1
    1940.0       9.6      28.1      77.0     451.7
    1945.0       9.6      28.2      77.3     453.3
    1950.0       9.6      28.2      77.5     455.0
    1955.0       9.6      28.3      77.8     456.6
    1960.0       9.6      28.3      78.0     458.2
    1965.0       9.6      28.4      78.3     459.8
    1970.0       9.6      28.4      78.6     461.4
    1975.0       9.6      28.5      78.8     463.1
    1980.0       9.7      28.5      79.1     464.7
    1985.0       9.7      28.6      79.4     466.3
    1990.0       9.7      28.7      79.6     467.9
    1995.0       9.7      28.7      79.9     469.6
    2495.0      11.0      34.3     108.0     643.7
    2995.0      12.1      39.7     139.1     837.6
    3495.0      13.2      45.0     173.0    1051.2
    3995.0      14.3      50.1     209.6    1284.1
    4495.0      15.3      55.2     248.7    1536.2
    4995.0      16.3      60.3     290.3    1807.2
    5495.0      17.3      65.3     334.2    2096.7
    5995.0      18.3      70.2     380.5    2404.1
    6495.0      19.2      75.0     429.1    2728.2
    6995.0      20.1      79.8     479.8    3069.8
    7495.0      21.0      84.6     532.7    3427.5
    7995.0      21.9      89.3     587.7    3799.8
    8495.0      22.7      94.0     644.8    4188.5
    8995.0      23.6      98.6     703.9    4592.7
    9495.0      24.4     103.3     765.1    5011.4
    9995.0      25.3     107.9     828.2    5445.6
   10495.0      26.1     112.4     893.2    5894.8
   10995.0      26.9     117.0     960.2    6359.2
   11495.0      27.7     121.5    1029.1    6838.6
   11995.0      28.5     126.0    1099.8    7332.9
   12495.0      29.3     130.4    1172.4    7842.0
   12995.0      30.1     134.9    1246.8    8366.0
   13495.0      30.9     139.3    1323.1    8904.9
   13995.0      31.6     143.7    1401.1    9458.4
   14495.0      32.4     148.1    1480.9   10025.9
   14995.0      33.2     152.5    1562.5   10607.9
   15495.0      33.9     156.9    1645.8   11204.1
   15995.0      34.7     161.2    1730.8   11814.8
   16495.0      35.4     165.5    1817.6   12439.6
   16995.0      36.1     169.8    1906.0   13078.6
   17495.0      36.9     174.1    1996.2   13731.7
   17995.0      37.6     178.4    2088.0   14398.9
   18495.0      38.3     182.7    2181.4   15080.1
   18995.0      39.0     187.0    2276.5   15775.4
   19495.0      39.7     191.2    2373.3   16484.7
   19995.0      40.5     195.4    2471.7   17207.7
   20495.0      41.2     199.7    2571.6   17944.3
   20995.0      41.9     203.9    2673.2   18694.8
   21495.0      42.6     208.1    2776.4   19459.0
   21995.0      43.2     212.2    2881.1   20236.9
   22495.0      43.9     216.4    2987.5   21028.5
   22995.0      44.6     220.6    3095.3   21833.8
   23495.0      45.3     224.7    3204.8   22652.7
   23995.0      46.0     228.9    3315.7   23485.2
   24495.0      46.7     233.0    3428.2   24331.2
   24995.0      47.3     237.2    3542.2   25190.7
   25495.0      48.0     241.3    3657.8   26063.7
   25995.0      48.7     245.4    3774.8   26950.2
   26495.0      49.3     249.5    3893.3   27849.3
   26995.0      50.0     253.6    4013.4   28761.2
   27495.0      50.6     257.7    4134.8   29686.3
   27995.0      51.3     261.7    4257.8   30624.6
   28495.0      51.9     265.8    4382.2   31576.1
   28995.0      52.6     269.9    4508.1   32540.7
   29495.0      53.2     273.9    4635.5   33518.5
   29995.0      53.9     278.0    4764.2   34509.4
   30495.0      54.5     282.0    4893.6   35505.5
   30995.0      55.1     286.0    5022.9   36501.6
   31495.0      55.8     290.1    5152.2   37497.7
   31995.0      56.4     294.1    5281.6   38493.8
   32495.0      57.1     298.2    5410.9   39489.9
   32995.0      57.7     302.2    5540.3   40486.0
   33495.0      58.3     306.3    5669.6   41482.2
   33995.0      59.0     310.3    5799.0   42478.3
   34495.0      59.6     314.3    5928.3   43474.4
   34995.0      60.3     318.4    6057.6   44470.5
   35495.0      60.9     322.4    6187.0   45466.6
   35995.0      61.5     326.5    6316.3   46462.7
   36495.0      62.2     330.5    6445.7   47458.8
   36995.0      62.8     334.6    6575.0   48454.9
   37495.0      63.5     338.6    6704.3   49451.0
   37995.0      64.1     342.6    6833.7   50447.1
   38495.0      64.7     346.7    6963.0   51443.2
   38995.0      65.4     350.7    7092.4   52439.3
   39495.0      66.0     354.8    7221.7   53435.4
   39995.0      66.6     358.8    7351.1   54431.6
   40495.0      67.3     362.9    7480.4   55427.7
   40995.0      67.9     366.9    7609.7   56423.8
   41495.0      68.6     370.9    7739.1   57419.9
   41995.0      69.2     375.0    7868.4   58416.0
   42495.0      69.8     379.0    7997.8   59412.1
   42995.0      70.5     383.1    8127.1   60408.2
   43495.0      71.1     387.1    8256.4   61404.3
   43995.0      71.8     391.2    8385.8   62400.4
   44495.0      72.4     395.2    8515.1   63396.5
   44995.0      73.0     399.2    8644.5   64392.6
   45495.0      73.7     403.3    8773.8   65388.7
   45995.0      74.3     407.3    8903.2   66384.8
   46495.0      75.0     411.4    9032.5   67381.0
   46995.0      75.6     415.4    9161.8   68377.1
   47495.0      76.2     419.5    9291.2   69373.2
   47995.0      76.9     423.5    9420.5   70369.3
   48495.0      77.5     427.5    9549.9   71365.4
   48995.0      78.2     431.6    9679.2   72361.5
   49495.0      78.8     435.6    9808.5   73357.6
   49995.0      79.4     439.7    9937.9   74353.7
   50495.0      80.1     443.7   10067.2   75349.8
   50995.0      80.7     447.8   10196.6   76345.9
   51495.0      81.4     451.8   10325.9   77342.0
   51995.0      82.0     455.8   10455.3   78338.1
   52495.0      82.6     459.9   10584.6   79334.2
   52995.0      83.3     463.9   10713.9   80330.4
   53495.0      83.9     468.0   10843.3   81326.5
   53995.0      84.5     472.0   10972.6   82322.6
   54495.0      85.2     476.1   11102.0   83318.7
   54995.0      85.8     480.1   11231.3   84314.8
   55495.0      86.5     484.1   11360.6   85310.9
   55995.0      87.1     488.2   11490.0   86307.0
   56495.0      87.7     492.2   11619.3   87303.1
   56995.0      88.4     496.3   11748.7   88299.2
   57495.0      89.0     500.3   11878.0   89295.3
   57995.0      89.7     504.4   12007.4   90291.4
   58495.0      90.3     508.4   12136.7   91287.5
   58995.0      90.9     512.4   12266.0   92283.6
   59495.0      91.6     516.5   12395.4   93279.8
   59995.0      92.2     520.5   12524.7   94275.9
   60495.0      92.9     524.6   12654.1   95272.0
   60995.0      93.5     528.6   12783.4   96268.1
   61495.0      94.1     532.7   12912.7   97264.2
   61995.0      94.8     536.7   13042.1   98260.3
   62495.0      95.4     540.7   13171.4   99256.4
   62995.0      96.1     544.8   13300.8  100252.5
   63495.0      96.7     548.8   13430.1  101248.6
   63995.0      97.3     552.9   13559.4  102244.7
   64495.0      98.0     556.9   13688.8  103240.8
   64995.0      98.6     561.0   13818.1  104236.9
   65495.0      99.3     565.0   13947.5  105233.0
   65995.0      99.9     569.0   14076.8  106229.2
   66495.0     100.5     573.1   14206.2  107225.3
   66995.0     101.2     577.1   14335.5  108221.4
   67495.0     101.8     581.2   14464.8  109217.5
   67995.0     102.4     585.2   14594.2  110213.6
   68495.0     103.1     589.3   14723.5  111209.7
   68995.0     103.7     593.3   14852.9  112205.8
   69495.0     104.4     597.3   14982.2  113201.9
