# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Si
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
     750.0      15.4      20.4     102.2     254.3
     755.0      15.5      20.5     103.2     256.5
     760.0      15.6      20.6     104.2     258.7
     765.0      15.6      20.7     105.1     260.8
     770.0      15.7      20.8     106.1     263.0
     775.0      15.8      20.9     107.1     265.2
     780.0      15.8      21.0     108.1     267.4
     785.0      15.9      21.1     109.1     269.6
     790.0      16.0      21.2     110.1     271.8
     795.0      16.0      21.3     111.0     274.0
     800.0      16.1      21.4     112.1     276.2
     805.0      16.1      21.5     113.1     278.5
     810.0      16.2      21.6     114.1     280.7
     815.0      16.3      21.7     115.1     282.9
     820.0      16.3      21.8     116.1     285.2
     825.0      16.4      21.9     117.1     287.4
     830.0      16.5      22.0     118.1     289.7
     835.0      16.5      22.1     119.1     291.9
     840.0      16.6      22.2     120.2     294.2
     845.0      16.7      22.3     121.2     296.5
     850.0      16.7      22.4     122.2     298.7
     855.0      16.8      22.5     123.3     301.0
     860.0      16.8      22.6     124.3     303.3
     865.0      16.9      22.7     125.3     305.6
     870.0      17.0      22.8     126.4     307.9
     875.0      17.0      22.9     127.4     310.2
     880.0      17.1      23.0     128.5     312.5
     885.0      17.1      23.1     129.5     314.8
     890.0      17.2      23.2     130.6     317.2
     895.0      17.3      23.3     131.7     319.5
     900.0      17.3      23.4     132.7     321.8
     905.0      17.4      23.5     133.8     324.2
     910.0      17.5      23.6     134.9     326.5
     915.0      17.5      23.7     135.9     328.9
     920.0      17.6      23.8     137.0     331.2
     925.0      17.6      23.9     138.1     333.6
     930.0      17.7      24.0     139.2     336.0
     935.0      17.8      24.1     140.3     338.4
     940.0      17.8      24.2     141.4     340.8
     945.0      17.9      24.3     142.5     343.1
     950.0      18.0      24.4     143.6     345.5
     955.0      18.0      24.5     144.7     347.9
     960.0      18.1      24.6     145.8     350.4
     965.0      18.1      24.7     146.9     352.8
     970.0      18.2      24.8     148.0     355.2
     975.0      18.3      24.9     149.1     357.6
     980.0      18.3      24.9     150.2     360.1
     985.0      18.4      25.0     151.4     362.5
     990.0      18.4      25.1     152.5     364.9
     995.0      18.5      25.2     153.6     367.4
    1000.0      18.6      25.3     154.7     369.9
    1005.0      18.6      25.4     155.9     372.4
    1010.0      18.7      25.5     157.0     374.9
    1015.0      18.7      25.6     158.2     377.4
    1020.0      18.8      25.7     159.3     379.9
    1025.0      18.9      25.8     160.5     382.4
    1030.0      18.9      25.9     161.6     384.9
    1035.0      19.0      26.0     162.8     387.4
    1040.0      19.0      26.1     163.9     389.9
    1045.0      19.1      26.2     165.1     392.4
    1050.0      19.2      26.3     166.2     395.0
    1055.0      19.2      26.4     167.4     397.6
    1060.0      19.3      26.5     168.6     400.1
    1065.0      19.3      26.6     169.8     402.7
    1070.0      19.4      26.7     171.0     405.3
    1075.0      19.5      26.8     172.1     407.8
    1080.0      19.5      26.9     173.3     410.4
    1085.0      19.6      27.0     174.5     413.0
    1090.0      19.6      27.1     175.7     415.5
    1095.0      19.7      27.2     176.9     418.1
    1100.0      19.8      27.3     178.1     420.7
    1105.0      19.8      27.4     179.3     423.4
    1110.0      19.9      27.5     180.5     426.0
    1115.0      19.9      27.6     181.7     428.6
    1120.0      20.0      27.7     182.9     431.2
    1125.0      20.1      27.8     184.1     433.9
    1130.0      20.1      27.9     185.3     436.5
    1135.0      20.2      28.0     186.5     439.1
    1140.0      20.2      28.1     187.8     441.8
    1145.0      20.3      28.1     189.0     444.4
    1150.0      20.3      28.2     190.2     447.1
    1155.0      20.4      28.3     191.4     449.8
    1160.0      20.5      28.4     192.7     452.5
    1165.0      20.5      28.5     193.9     455.1
    1170.0      20.6      28.6     195.2     457.8
    1175.0      20.6      28.7     196.4     460.5
    1180.0      20.7      28.8     197.7     463.2
    1185.0      20.8      28.9     198.9     465.9
    1190.0      20.8      29.0     200.1     468.6
    1195.0      20.9      29.1     201.4     471.3
    1200.0      20.9      29.2     202.7     474.0
    1205.0      21.0      29.3     203.9     476.8
    1210.0      21.1      29.4     205.2     479.5
    1215.0      21.1      29.5     206.5     482.3
    1220.0      21.2      29.6     207.8     485.0
    1225.0      21.2      29.7     209.0     487.8
    1230.0      21.3      29.8     210.3     490.5
    1235.0      21.3      29.9     211.6     493.3
    1240.0      21.4      30.0     212.9     496.0
    1245.0      21.5      30.1     214.1     498.8
    1250.0      21.5      30.2     215.4     501.6
    1255.0      21.6      30.2     216.7     504.4
    1260.0      21.6      30.3     218.1     507.2
    1265.0      21.7      30.4     219.4     510.0
    1270.0      21.8      30.5     220.7     512.8
    1275.0      21.8      30.6     222.0     515.7
    1280.0      21.9      30.7     223.3     518.5
    1285.0      21.9      30.8     224.6     521.3
    1290.0      22.0      30.9     225.9     524.1
    1295.0      22.0      31.0     227.2     526.9
    1300.0      22.1      31.1     228.5     529.8
    1305.0      22.2      31.2     229.9     532.6
    1310.0      22.2      31.3     231.2     535.5
    1315.0      22.3      31.4     232.5     538.4
    1320.0      22.3      31.5     233.9     541.3
    1325.0      22.4      31.6     235.2     544.1
    1330.0      22.4      31.7     236.6     547.0
    1335.0      22.5      31.8     237.9     549.9
    1340.0      22.6      31.9     239.2     552.8
    1345.0      22.6      31.9     240.6     555.6
    1350.0      22.7      32.0     241.9     558.6
    1355.0      22.7      32.1     243.3     561.5
    1360.0      22.8      32.2     244.7     564.4
    1365.0      22.8      32.3     246.0     567.4
    1370.0      22.9      32.4     247.4     570.3
    1375.0      23.0      32.5     248.8     573.2
    1380.0      23.0      32.6     250.1     576.2
    1385.0      23.1      32.7     251.5     579.1
    1390.0      23.1      32.8     252.9     582.0
    1395.0      23.2      32.9     254.2     585.0
    1400.0      23.2      33.0     255.6     588.0
    1405.0      23.3      33.1     257.0     591.0
    1410.0      23.4      33.2     258.4     594.0
    1415.0      23.4      33.3     259.8     597.0
    1420.0      23.5      33.4     261.2     599.9
    1425.0      23.5      33.4     262.6     602.9
