# Characteristic  Pathlengths (in Angstroem) for Electron Transport in W
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
     750.0       4.7      11.2      18.2      89.9
     755.0       4.7      11.3      18.3      90.6
     760.0       4.7      11.3      18.3      91.3
     765.0       4.7      11.4      18.4      92.0
     770.0       4.7      11.4      18.5      92.8
     775.0       4.7      11.5      18.6      93.5
     780.0       4.7      11.5      18.7      94.2
     785.0       4.8      11.6      18.8      94.9
     790.0       4.8      11.6      18.9      95.6
     795.0       4.8      11.7      19.0      96.4
     800.0       4.8      11.7      19.0      97.1
     805.0       4.8      11.8      19.1      97.8
     810.0       4.8      11.8      19.2      98.5
     815.0       4.8      11.9      19.3      99.3
     820.0       4.8      11.9      19.4     100.0
     825.0       4.9      12.0      19.5     100.7
     830.0       4.9      12.0      19.6     101.5
     835.0       4.9      12.1      19.7     102.2
     840.0       4.9      12.1      19.8     102.9
     845.0       4.9      12.2      19.8     103.7
     850.0       4.9      12.2      19.9     104.4
     855.0       4.9      12.3      20.0     105.1
     860.0       4.9      12.3      20.1     105.9
     865.0       5.0      12.4      20.2     106.6
     870.0       5.0      12.4      20.3     107.4
     875.0       5.0      12.5      20.4     108.1
     880.0       5.0      12.5      20.5     108.9
     885.0       5.0      12.6      20.6     109.6
     890.0       5.0      12.6      20.7     110.3
     895.0       5.0      12.7      20.8     111.1
     900.0       5.0      12.7      20.9     111.8
     905.0       5.1      12.8      20.9     112.6
     910.0       5.1      12.8      21.0     113.4
     915.0       5.1      12.9      21.1     114.1
     920.0       5.1      12.9      21.2     114.9
     925.0       5.1      13.0      21.3     115.6
     930.0       5.1      13.0      21.4     116.4
     935.0       5.1      13.1      21.5     117.1
     940.0       5.1      13.1      21.6     117.9
     945.0       5.2      13.2      21.7     118.7
     950.0       5.2      13.2      21.8     119.4
     955.0       5.2      13.2      21.9     120.2
     960.0       5.2      13.3      22.0     121.0
     965.0       5.2      13.3      22.1     121.7
     970.0       5.2      13.4      22.2     122.5
     975.0       5.2      13.4      22.3     123.3
     980.0       5.2      13.5      22.4     124.0
     985.0       5.2      13.5      22.5     124.8
     990.0       5.3      13.6      22.6     125.6
     995.0       5.3      13.6      22.7     126.4
    1000.0       5.3      13.7      22.8     127.1
    1005.0       5.3      13.7      22.9     127.9
    1010.0       5.3      13.8      23.0     128.7
    1015.0       5.3      13.8      23.1     129.5
    1020.0       5.3      13.9      23.2     130.3
    1025.0       5.3      13.9      23.3     131.1
    1030.0       5.3      14.0      23.4     131.9
    1035.0       5.4      14.0      23.5     132.6
    1040.0       5.4      14.1      23.6     133.4
    1045.0       5.4      14.1      23.7     134.2
    1050.0       5.4      14.2      23.8     135.0
    1055.0       5.4      14.2      23.9     135.8
    1060.0       5.4      14.3      24.0     136.6
    1065.0       5.4      14.3      24.1     137.4
    1070.0       5.4      14.4      24.2     138.2
    1075.0       5.4      14.4      24.3     139.0
    1080.0       5.5      14.4      24.4     139.8
    1085.0       5.5      14.5      24.5     140.6
    1090.0       5.5      14.5      24.6     141.4
    1095.0       5.5      14.6      24.7     142.2
    1100.0       5.5      14.6      24.8     143.0
    1105.0       5.5      14.7      24.9     143.8
    1110.0       5.5      14.7      25.0     144.6
    1115.0       5.5      14.8      25.1     145.5
    1120.0       5.5      14.8      25.2     146.3
    1125.0       5.6      14.9      25.3     147.1
    1130.0       5.6      14.9      25.4     147.9
    1135.0       5.6      15.0      25.5     148.7
    1140.0       5.6      15.0      25.6     149.5
    1145.0       5.6      15.1      25.7     150.3
    1150.0       5.6      15.1      25.8     151.2
    1155.0       5.6      15.2      25.9     152.0
    1160.0       5.6      15.2      26.0     152.8
    1165.0       5.6      15.3      26.1     153.6
    1170.0       5.7      15.3      26.2     154.5
    1175.0       5.7      15.3      26.3     155.3
    1180.0       5.7      15.4      26.4     156.1
    1185.0       5.7      15.4      26.5     156.9
    1190.0       5.7      15.5      26.6     157.8
    1195.0       5.7      15.5      26.7     158.6
    1200.0       5.7      15.6      26.9     159.4
    1205.0       5.7      15.6      27.0     160.3
    1210.0       5.7      15.7      27.1     161.1
    1215.0       5.7      15.7      27.2     161.9
    1220.0       5.8      15.8      27.3     162.8
    1225.0       5.8      15.8      27.4     163.6
    1230.0       5.8      15.9      27.5     164.4
    1235.0       5.8      15.9      27.6     165.3
    1240.0       5.8      16.0      27.7     166.1
    1245.0       5.8      16.0      27.8     166.9
    1250.0       5.8      16.1      27.9     167.8
    1255.0       5.8      16.1      28.0     168.6
    1260.0       5.8      16.1      28.1     169.5
    1265.0       5.9      16.2      28.2     170.3
    1270.0       5.9      16.2      28.4     171.2
    1275.0       5.9      16.3      28.5     172.0
    1280.0       5.9      16.3      28.6     172.9
    1285.0       5.9      16.4      28.7     173.7
    1290.0       5.9      16.4      28.8     174.6
    1295.0       5.9      16.5      28.9     175.4
    1300.0       5.9      16.5      29.0     176.3
    1305.0       5.9      16.6      29.1     177.2
    1310.0       5.9      16.6      29.2     178.0
    1315.0       6.0      16.7      29.3     178.9
    1320.0       6.0      16.7      29.4     179.8
    1325.0       6.0      16.7      29.6     180.6
    1330.0       6.0      16.8      29.7     181.5
    1335.0       6.0      16.8      29.8     182.4
    1340.0       6.0      16.9      29.9     183.2
    1345.0       6.0      16.9      30.0     184.1
    1350.0       6.0      17.0      30.1     185.0
    1355.0       6.0      17.0      30.2     185.8
    1360.0       6.0      17.1      30.3     186.7
    1365.0       6.1      17.1      30.4     187.6
    1370.0       6.1      17.2      30.6     188.5
    1375.0       6.1      17.2      30.7     189.3
    1380.0       6.1      17.3      30.8     190.2
    1385.0       6.1      17.3      30.9     191.1
    1390.0       6.1      17.3      31.0     192.0
    1395.0       6.1      17.4      31.1     192.8
    1400.0       6.1      17.4      31.2     193.7
    1405.0       6.1      17.5      31.3     194.6
    1410.0       6.1      17.5      31.5     195.5
    1415.0       6.2      17.6      31.6     196.4
    1420.0       6.2      17.6      31.7     197.3
    1425.0       6.2      17.7      31.8     198.2
    1430.0       6.2      17.7      31.9     199.0
    1435.0       6.2      17.8      32.0     199.9
    1440.0       6.2      17.8      32.1     200.8
    1445.0       6.2      17.9      32.2     201.7
    1450.0       6.2      17.9      32.4     202.6
    1455.0       6.2      17.9      32.5     203.5
    1460.0       6.2      18.0      32.6     204.4
    1465.0       6.3      18.0      32.7     205.3
    1470.0       6.3      18.1      32.8     206.2
    1475.0       6.3      18.1      32.9     207.1
    1480.0       6.3      18.2      33.1     208.0
    1485.0       6.3      18.2      33.2     208.9
    1490.0       6.3      18.3      33.3     209.8
    1495.0       6.3      18.3      33.4     210.7
    1500.0       6.3      18.4      33.5     211.6
    1505.0       6.3      18.4      33.6     212.5
    1510.0       6.3      18.4      33.7     213.5
    1515.0       6.4      18.5      33.9     214.4
    1520.0       6.4      18.5      34.0     215.3
    1525.0       6.4      18.6      34.1     216.2
    1530.0       6.4      18.6      34.2     217.1
    1535.0       6.4      18.7      34.3     218.0
    1540.0       6.4      18.7      34.4     218.9
    1545.0       6.4      18.8      34.6     219.9
    1550.0       6.4      18.8      34.7     220.8
    1555.0       6.4      18.9      34.8     221.7
    1560.0       6.4      18.9      34.9     222.6
    1565.0       6.5      18.9      35.0     223.6
    1570.0       6.5      19.0      35.1     224.5
    1575.0       6.5      19.0      35.3     225.4
    1580.0       6.5      19.1      35.4     226.3
    1585.0       6.5      19.1      35.5     227.3
    1590.0       6.5      19.2      35.6     228.2
    1595.0       6.5      19.2      35.7     229.1
    1600.0       6.5      19.3      35.9     230.1
    1605.0       6.5      19.3      36.0     231.0
    1610.0       6.5      19.3      36.1     231.9
    1615.0       6.5      19.4      36.2     232.9
    1620.0       6.6      19.4      36.3     233.8
    1625.0       6.6      19.5      36.5     234.7
    1630.0       6.6      19.5      36.6     235.7
    1635.0       6.6      19.6      36.7     236.6
    1640.0       6.6      19.6      36.8     237.6
    1645.0       6.6      19.7      36.9     238.5
    1650.0       6.6      19.7      37.1     239.5
    1655.0       6.6      19.8      37.2     240.4
    1660.0       6.6      19.8      37.3     241.4
    1665.0       6.6      19.8      37.4     242.3
    1670.0       6.6      19.9      37.5     243.3
    1675.0       6.7      19.9      37.7     244.2
    1680.0       6.7      20.0      37.8     245.2
    1685.0       6.7      20.0      37.9     246.1
    1690.0       6.7      20.1      38.0     247.1
    1695.0       6.7      20.1      38.1     248.0
    1700.0       6.7      20.2      38.3     249.0
