# Characteristic  Pathlengths (in Angstroem) for Electron Transport in Cr
#
# ener(eV)      EMFP      IMFP     TRMFP      LNRG   
     750.0       6.3      13.9      32.3     128.1
     755.0       6.3      14.0      32.6     129.3
     760.0       6.3      14.0      32.8     130.4
     765.0       6.4      14.1      33.1     131.6
     770.0       6.4      14.2      33.4     132.7
     775.0       6.4      14.2      33.7     133.9
     780.0       6.4      14.3      33.9     135.0
     785.0       6.4      14.4      34.2     136.2
     790.0       6.5      14.4      34.5     137.4
     795.0       6.5      14.5      34.8     138.5
     800.0       6.5      14.6      35.1     139.7
     805.0       6.5      14.6      35.3     140.9
     810.0       6.6      14.7      35.6     142.1
     815.0       6.6      14.8      35.9     143.2
     820.0       6.6      14.8      36.2     144.4
     825.0       6.6      14.9      36.5     145.6
     830.0       6.6      15.0      36.8     146.8
     835.0       6.7      15.0      37.1     148.0
     840.0       6.7      15.1      37.3     149.2
     845.0       6.7      15.2      37.6     150.4
     850.0       6.7      15.2      37.9     151.6
     855.0       6.7      15.3      38.2     152.8
     860.0       6.8      15.4      38.5     154.1
     865.0       6.8      15.4      38.8     155.3
     870.0       6.8      15.5      39.1     156.5
     875.0       6.8      15.6      39.4     157.7
     880.0       6.9      15.6      39.7     159.0
     885.0       6.9      15.7      40.0     160.2
     890.0       6.9      15.8      40.3     161.5
     895.0       6.9      15.8      40.6     162.7
     900.0       6.9      15.9      40.9     163.9
     905.0       7.0      16.0      41.2     165.2
     910.0       7.0      16.0      41.5     166.5
     915.0       7.0      16.1      41.8     167.7
     920.0       7.0      16.2      42.1     169.0
     925.0       7.0      16.2      42.4     170.3
     930.0       7.1      16.3      42.7     171.5
     935.0       7.1      16.4      43.0     172.8
     940.0       7.1      16.4      43.3     174.1
     945.0       7.1      16.5      43.6     175.4
     950.0       7.2      16.6      43.9     176.6
     955.0       7.2      16.6      44.2     177.9
     960.0       7.2      16.7      44.5     179.2
     965.0       7.2      16.8      44.8     180.5
     970.0       7.2      16.8      45.1     181.8
     975.0       7.3      16.9      45.5     183.1
     980.0       7.3      17.0      45.8     184.4
     985.0       7.3      17.0      46.1     185.8
     990.0       7.3      17.1      46.4     187.1
     995.0       7.3      17.1      46.7     188.4
    1000.0       7.4      17.2      47.0     189.7
    1005.0       7.4      17.3      47.3     191.1
    1010.0       7.4      17.3      47.7     192.4
    1015.0       7.4      17.4      48.0     193.8
    1020.0       7.4      17.5      48.3     195.1
    1025.0       7.5      17.5      48.6     196.5
    1030.0       7.5      17.6      48.9     197.9
    1035.0       7.5      17.7      49.3     199.2
    1040.0       7.5      17.7      49.6     200.6
    1045.0       7.5      17.8      49.9     201.9
    1050.0       7.6      17.9      50.2     203.3
    1055.0       7.6      17.9      50.5     204.7
    1060.0       7.6      18.0      50.9     206.1
    1065.0       7.6      18.1      51.2     207.5
    1070.0       7.6      18.1      51.5     208.9
    1075.0       7.7      18.2      51.8     210.2
    1080.0       7.7      18.3      52.2     211.6
    1085.0       7.7      18.3      52.5     213.0
    1090.0       7.7      18.4      52.8     214.4
    1095.0       7.7      18.4      53.1     215.8
    1100.0       7.8      18.5      53.5     217.2
    1105.0       7.8      18.6      53.8     218.7
    1110.0       7.8      18.6      54.1     220.1
    1115.0       7.8      18.7      54.5     221.5
    1120.0       7.8      18.8      54.8     222.9
    1125.0       7.9      18.8      55.1     224.4
    1130.0       7.9      18.9      55.5     225.8
    1135.0       7.9      19.0      55.8     227.2
    1140.0       7.9      19.0      56.1     228.7
    1145.0       7.9      19.1      56.5     230.1
    1150.0       8.0      19.1      56.8     231.5
    1155.0       8.0      19.2      57.2     233.0
    1160.0       8.0      19.3      57.5     234.5
    1165.0       8.0      19.3      57.8     235.9
    1170.0       8.0      19.4      58.2     237.4
    1175.0       8.1      19.5      58.5     238.9
    1180.0       8.1      19.5      58.9     240.3
    1185.0       8.1      19.6      59.2     241.8
    1190.0       8.1      19.7      59.5     243.2
    1195.0       8.1      19.7      59.9     244.7
    1200.0       8.2      19.8      60.2     246.2
    1205.0       8.2      19.9      60.6     247.7
    1210.0       8.2      19.9      60.9     249.2
    1215.0       8.2      20.0      61.3     250.7
    1220.0       8.2      20.0      61.6     252.2
    1225.0       8.3      20.1      62.0     253.7
    1230.0       8.3      20.2      62.3     255.1
    1235.0       8.3      20.2      62.7     256.6
    1240.0       8.3      20.3      63.0     258.1
    1245.0       8.3      20.4      63.4     259.6
    1250.0       8.3      20.4      63.7     261.1
    1255.0       8.4      20.5      64.1     262.7
    1260.0       8.4      20.5      64.4     264.2
    1265.0       8.4      20.6      64.8     265.7
    1270.0       8.4      20.7      65.1     267.2
    1275.0       8.4      20.7      65.5     268.8
    1280.0       8.5      20.8      65.9     270.3
    1285.0       8.5      20.9      66.2     271.8
    1290.0       8.5      20.9      66.6     273.3
    1295.0       8.5      21.0      66.9     274.8
    1300.0       8.5      21.0      67.3     276.4
    1305.0       8.6      21.1      67.7     277.9
    1310.0       8.6      21.2      68.0     279.5
    1315.0       8.6      21.2      68.4     281.0
    1320.0       8.6      21.3      68.7     282.6
    1325.0       8.6      21.4      69.1     284.1
    1330.0       8.7      21.4      69.5     285.7
    1335.0       8.7      21.5      69.8     287.2
    1340.0       8.7      21.5      70.2     288.8
    1345.0       8.7      21.6      70.6     290.3
    1350.0       8.7      21.7      70.9     291.9
    1355.0       8.7      21.7      71.3     293.5
    1360.0       8.8      21.8      71.7     295.1
    1365.0       8.8      21.8      72.0     296.6
    1370.0       8.8      21.9      72.4     298.2
    1375.0       8.8      22.0      72.8     299.8
    1380.0       8.8      22.0      73.1     301.4
    1385.0       8.9      22.1      73.5     302.9
    1390.0       8.9      22.2      73.9     304.5
    1395.0       8.9      22.2      74.3     306.1
    1400.0       8.9      22.3      74.6     307.7
    1405.0       8.9      22.3      75.0     309.3
    1410.0       9.0      22.4      75.4     310.9
    1415.0       9.0      22.5      75.8     312.5
    1420.0       9.0      22.5      76.1     314.1
    1425.0       9.0      22.6      76.5     315.7
    1430.0       9.0      22.6      76.9     317.3
    1435.0       9.0      22.7      77.3     318.9
    1440.0       9.1      22.8      77.6     320.5
    1445.0       9.1      22.8      78.0     322.1
    1450.0       9.1      22.9      78.4     323.8
    1455.0       9.1      22.9      78.8     325.4
    1460.0       9.1      23.0      79.2     327.0
    1465.0       9.2      23.1      79.6     328.6
    1470.0       9.2      23.1      79.9     330.3
    1475.0       9.2      23.2      80.3     331.9
    1480.0       9.2      23.3      80.7     333.5
    1485.0       9.2      23.3      81.1     335.2
    1490.0       9.2      23.4      81.5     336.8
    1495.0       9.3      23.4      81.9     338.4
    1500.0       9.3      23.5      82.3     340.1
    1505.0       9.3      23.6      82.6     341.7
    1510.0       9.3      23.6      83.0     343.4
    1515.0       9.3      23.7      83.4     345.0
    1520.0       9.4      23.7      83.8     346.7
    1525.0       9.4      23.8      84.2     348.3
    1530.0       9.4      23.9      84.6     350.0
    1535.0       9.4      23.9      85.0     351.6
    1540.0       9.4      24.0      85.4     353.3
    1545.0       9.4      24.0      85.8     354.9
    1550.0       9.5      24.1      86.2     356.6
    1555.0       9.5      24.2      86.6     358.3
    1560.0       9.5      24.2      87.0     360.0
    1565.0       9.5      24.3      87.4     361.7
    1570.0       9.5      24.3      87.8     363.3
    1575.0       9.6      24.4      88.2     365.0
    1580.0       9.6      24.5      88.6     366.7
    1585.0       9.6      24.5      89.0     368.4
    1590.0       9.6      24.6      89.4     370.1
    1595.0       9.6      24.6      89.8     371.7
    1600.0       9.6      24.7      90.2     373.4
    1605.0       9.7      24.8      90.6     375.1
    1610.0       9.7      24.8      91.0     376.9
    1615.0       9.7      24.9      91.4     378.6
    1620.0       9.7      24.9      91.8     380.3
    1625.0       9.7      25.0      92.2     382.0
    1630.0       9.8      25.1      92.6     383.7
    1635.0       9.8      25.1      93.0     385.4
    1640.0       9.8      25.2      93.4     387.1
    1645.0       9.8      25.2      93.8     388.8
    1650.0       9.8      25.3      94.2     390.5
    1655.0       9.8      25.4      94.6     392.2
    1660.0       9.9      25.4      95.0     394.0
    1665.0       9.9      25.5      95.4     395.7
    1670.0       9.9      25.5      95.9     397.4
    1675.0       9.9      25.6      96.3     399.2
    1680.0       9.9      25.7      96.7     400.9
    1685.0      10.0      25.7      97.1     402.6
    1690.0      10.0      25.8      97.5     404.3
    1695.0      10.0      25.8      97.9     406.1
    1700.0      10.0      25.9      98.3     407.8
    1705.0      10.0      26.0      98.7     409.6
    1710.0      10.0      26.0      99.2     411.3
    1715.0      10.1      26.1      99.6     413.1
    1720.0      10.1      26.1     100.0     414.8
    1725.0      10.1      26.2     100.4     416.6
    1730.0      10.1      26.3     100.8     418.3
    1735.0      10.1      26.3     101.3     420.1
    1740.0      10.1      26.4     101.7     421.9
    1745.0      10.2      26.4     102.1     423.6
    1750.0      10.2      26.5     102.5     425.4
    1755.0      10.2      26.6     102.9     427.2
    1760.0      10.2      26.6     103.4     428.9
    1765.0      10.2      26.7     103.8     430.7
    1770.0      10.3      26.7     104.2     432.5
    1775.0      10.3      26.8     104.6     434.3
    1780.0      10.3      26.8     105.1     436.1
    1785.0      10.3      26.9     105.5     437.8
    1790.0      10.3      27.0     105.9     439.6
    1795.0      10.3      27.0     106.3     441.4
    1800.0      10.4      27.1     106.8     443.2
    1805.0      10.4      27.1     107.2     445.0
    1810.0      10.4      27.2     107.6     446.8
    1815.0      10.4      27.3     108.1     448.6
    1820.0      10.4      27.3     108.5     450.4
    1825.0      10.4      27.4     108.9     452.2
    1830.0      10.5      27.4     109.4     454.0
    1835.0      10.5      27.5     109.8     455.8
    1840.0      10.5      27.6     110.2     457.6
    1845.0      10.5      27.6     110.7     459.4
    1850.0      10.5      27.7     111.1     461.2
    1855.0      10.6      27.7     111.5     463.1
    1860.0      10.6      27.8     112.0     464.9
    1865.0      10.6      27.8     112.4     466.7
    1870.0      10.6      27.9     112.8     468.5
    1875.0      10.6      28.0     113.3     470.4
    1880.0      10.6      28.0     113.7     472.2
    1885.0      10.7      28.1     114.2     474.0
    1890.0      10.7      28.1     114.6     475.8
    1895.0      10.7      28.2     115.0     477.7
    1900.0      10.7      28.3     115.5     479.5
    1905.0      10.7      28.3     115.9     481.4
    1910.0      10.7      28.4     116.4     483.2
    1915.0      10.8      28.4     116.8     485.1
