Generated by GetData Graph Digitizer 2.24 on January 09 2015, 18:28
from file 'D:\MATLAB SVN\Development\Kaplya\OKG Werner compare\wer_Au_0\Au.jpg'

Line #1
-8.80012119133368e+001	2.96296296296296e-002
-8.60021494312010e+001	5.86243386243386e-002
-8.40049162522152e+001	7.91534391534392e-002
-8.20087806551192e+001	9.46031746031746e-002
-7.99887269193392e+001	1.09629629629630e-001
-7.79966615217516e+001	1.06243386243386e-001
-7.60029497513291e+001	1.10476190476190e-001
-7.40113874121077e+001	1.04761904761905e-001
-7.19931172468988e+001	1.11534391534392e-001
-6.99992682787401e+001	1.16402116402116e-001
-6.80030412164866e+001	1.32275132275132e-001
-6.59821185617104e+001	1.51322751322751e-001
-6.40092608471960e+001	1.70158730158730e-001
-6.20077745383868e+001	2.10370370370370e-001
-5.99821414279998e+001	2.51216931216931e-001
-5.80048476533471e+001	2.90582010582011e-001
-5.60019436345967e+001	3.37354497354497e-001
-5.40022408963585e+001	3.69312169312169e-001
-5.20001143314469e+001	4.12486772486773e-001
-5.00040701995084e+001	4.27513227513228e-001
-4.59913565426170e+001	4.41904761904762e-001
-4.20118447378952e+001	4.13756613756614e-001
-3.99983764934545e+001	3.98306878306878e-001
-3.79910821471446e+001	3.54285714285714e-001
-3.60054650431601e+001	3.21058201058201e-001
-3.40220888355342e+001	2.77460317460317e-001
-3.19869433487681e+001	2.51216931216931e-001
-2.99994969416338e+001	2.26455026455026e-001
-2.80099011032985e+001	2.11640211640212e-001
-2.59908534842508e+001	2.22010582010582e-001
-2.39943977591036e+001	2.38941798941799e-001
-2.20166466586635e+001	2.80423280423280e-001
-1.99881323958155e+001	3.34603174603175e-001
-1.80038872691934e+001	4.06137566137566e-001
-1.59933001772137e+001	4.88465608465608e-001
-1.40072257474418e+001	5.68465608465608e-001
-1.19974161093009e+001	6.47195767195767e-001
-1.19913794089064e+001	6.75132275132275e-001
-1.00083233293317e+001	7.41164021164021e-001
-8.01977934030755e+000	8.32592592592593e-001
-5.98998456525467e+000	8.92698412698413e-001
-4.00647115989253e+000	9.60846560846561e-001
-2.01120448179272e+000	9.72275132275132e-001
3.21248499399758e-001	9.88571428571429e-001
1.99871948779513e+000	9.73756613756614e-001
3.98881838449665e+000	9.61269841269841e-001
5.99131081003830e+000	8.95026455026455e-001
7.99531241067857e+000	8.35767195767196e-001
9.99263705482193e+000	7.45608465608466e-001
1.19919739324301e+001	6.64761904761905e-001
1.40111130166352e+001	5.64444444444444e-001
1.60099011032985e+001	4.81058201058201e-001
1.79859143657463e+001	4.03386243386243e-001
2.00114102783971e+001	3.32486772486773e-001
2.19924083919282e+001	2.77883597883598e-001
2.40006173898131e+001	2.38095238095238e-001
2.59895272394672e+001	2.20105820105820e-001
2.80058766363688e+001	2.17989417989418e-001
3.00004573257875e+001	2.26243386243386e-001
3.19992454124507e+001	2.53968253968254e-001
3.39980334991139e+001	2.81693121693122e-001
3.59997484708169e+001	3.22962962962963e-001
3.79991310810038e+001	3.53439153439153e-001
4.19977591036414e+001	4.13756613756614e-001
4.59894815068885e+001	4.42116402116402e-001
4.99953352769680e+001	4.24761904761905e-001
5.19815469044761e+001	3.94285714285714e-001
5.40166466586635e+001	3.67830687830688e-001
5.60021722974904e+001	3.34179894179894e-001
5.79846795861202e+001	2.86560846560847e-001
6.00190018864689e+001	2.56507936507937e-001
6.20016463728348e+001	2.09523809523810e-001
6.59979877665352e+001	1.48148148148148e-001
6.80106785571371e+001	1.29100529100529e-001
7.00007317212599e+001	1.16402116402116e-001
7.40082318641743e+001	1.06666666666667e-001
7.79936431715543e+001	1.05820105820106e-001
8.00101754987709e+001	1.04550264550265e-001
8.20007317212599e+001	9.41798941798942e-002
8.39906934202252e+001	8.10582010582011e-002
8.59778654318870e+001	5.50264550264550e-002
8.80127822557594e+001	2.77248677248677e-002
